RecipeName,RecipeCategory,Difficulty,PreparationTimeMinutes,TotalIngredientCount,MatchedIngredientCount,MissingIngredientCount,MatchedIngredientRatio,RiskyIngredientCount,AverageDaysUntilExpiration,HasSensitiveIngredient,UserLikedSimilarRecipes,UserSavedSimilarRecipes,UserCookedSimilarRecipes,UserDislikedSimilarRecipes,ViewedSimilarRecipes,Season,RecommendationScore,RecommendationLabel
Kıymalı Makarna,Ana Yemek,Orta,30,5,0,5,0.0,0,20,False,7,3,1,4,5,Kış,0.0,Low
Yoğurtlu Meyve Kasesi,Tatlı,Kolay,8,7,2,5,0.286,2,20,False,2,5,4,0,6,Kış,83.2,High
Peynirli Lavaş Rulo,Atıştırmalık,Kolay,10,6,0,6,0.0,0,12,True,0,5,1,3,13,Kış,2.0,Low
Yoğurtlu Meyve Kasesi,Tatlı,Kolay,8,6,3,3,0.5,0,22,False,0,2,5,5,0,Yaz,24.5,Low
Sebzeli Pilav,Ana Yemek,Kolay,25,8,3,5,0.375,0,25,False,3,3,5,5,0,İlkbahar,22.12,Low
Bayat Ekmek Pizzası,Atıştırmalık,Kolay,20,8,4,4,0.5,2,23,True,0,0,2,0,0,Kış,55.5,Medium
Yoğurtlu Havuç Salatası,Salata,Kolay,15,4,4,0,1.0,4,19,True,4,5,2,4,14,Yaz,100.0,High
Bayat Ekmek Pizzası,Atıştırmalık,Kolay,20,6,5,1,0.833,1,6,False,3,2,4,1,11,Yaz,100.0,High
Sütlaç,Tatlı,Orta,45,5,4,1,0.8,2,12,True,5,2,3,3,13,Yaz,100.0,High
Peynirli Lavaş Rulo,Atıştırmalık,Kolay,10,9,0,9,0.0,0,22,True,8,1,4,5,15,Sonbahar,0.0,Low
Peynirli Akdeniz Salatası,Salata,Kolay,15,9,7,2,0.778,3,16,False,0,1,5,0,0,Yaz,100.0,High
Yoğurtlu Havuç Salatası,Salata,Kolay,15,9,0,9,0.0,0,10,False,4,2,5,4,7,Kış,0.0,Low
Elmalı Yulaf Tatlısı,Tatlı,Kolay,20,9,9,0,1.0,3,28,False,2,4,0,4,12,Sonbahar,100.0,High
Muzlu Smoothie,Atıştırmalık,Kolay,7,7,1,6,0.143,0,4,True,1,5,1,5,9,Sonbahar,3.8,Low
Sütlaç,Tatlı,Orta,45,7,5,2,0.714,0,20,False,8,2,1,2,13,Kış,79.0,High
Elmalı Yulaf Tatlısı,Tatlı,Kolay,20,9,8,1,0.889,0,25,True,3,5,4,4,7,Yaz,100.0,High
Peynirli Lavaş Rulo,Atıştırmalık,Kolay,10,9,2,7,0.222,0,16,True,4,0,2,1,14,Yaz,24.78,Low
Mevsim Salata,Salata,Kolay,10,5,2,3,0.4,2,1,True,1,0,2,1,1,Kış,66.2,Medium
Yoğurtlu Meyve Kasesi,Tatlı,Kolay,8,7,6,1,0.857,3,25,True,6,5,3,4,6,Yaz,100.0,High
Peynirli Tost,Kahvaltı,Kolay,10,4,1,3,0.25,1,20,True,0,4,4,5,5,Sonbahar,32.75,Low
Mercimek Çorbası,Çorba,Kolay,30,6,6,0,1.0,1,26,False,0,0,5,0,10,Kış,100.0,High
Muzlu Pankek,Tatlı,Orta,25,10,5,5,0.5,0,26,True,6,3,5,2,10,Kış,83.5,High
Peynirli Tost,Kahvaltı,Kolay,10,7,0,7,0.0,0,1,True,7,2,5,2,9,Yaz,55.8,Medium
Mercimek Çorbası,Çorba,Kolay,30,7,2,5,0.286,1,28,False,3,0,0,4,7,Kış,0.0,Low
Sebzeli Sandviç,Atıştırmalık,Kolay,12,9,8,1,0.889,3,2,True,6,1,2,3,9,Sonbahar,100.0,High
Sebzeli Omlet,Kahvaltı,Kolay,15,5,3,2,0.6,2,10,False,2,3,3,2,7,Kış,85.4,High
Yoğurtlu Yulaf,Kahvaltı,Kolay,8,8,6,2,0.75,2,9,False,4,3,3,3,14,Sonbahar,100.0,High
Domates Çorbası,Çorba,Kolay,25,5,4,1,0.8,2,20,False,3,4,4,2,12,Kış,100.0,High
Sebzeli Sandviç,Atıştırmalık,Kolay,12,6,6,0,1.0,0,26,True,5,6,0,4,5,İlkbahar,100.0,High
Yoğurt Çorbası,Çorba,Orta,35,8,3,5,0.375,1,14,False,5,3,1,4,10,Sonbahar,27.12,Low
Yoğurtlu Meyve Kasesi,Tatlı,Kolay,8,8,5,3,0.625,3,13,False,0,3,1,1,9,Sonbahar,87.67,High
Peynirli Akdeniz Salatası,Salata,Kolay,15,6,4,2,0.667,0,7,True,7,0,0,2,8,İlkbahar,73.93,Medium
Menemen,Kahvaltı,Kolay,20,9,9,0,1.0,0,29,False,6,2,4,5,3,İlkbahar,100.0,High
Sebzeli Pilav,Ana Yemek,Kolay,25,4,4,0,1.0,0,28,False,2,6,3,3,12,Kış,100.0,High
Peynirli Akdeniz Salatası,Salata,Kolay,15,5,4,1,0.8,4,21,False,3,4,0,2,11,Kış,100.0,High
Yoğurt Çorbası,Çorba,Orta,35,5,1,4,0.2,1,15,False,6,1,0,0,0,Kış,27.0,Low
Elmalı Yulaf Tatlısı,Tatlı,Kolay,20,10,9,1,0.9,3,13,False,8,4,3,0,8,İlkbahar,100.0,High
Yoğurtlu Meyve Kasesi,Tatlı,Kolay,8,7,3,4,0.429,2,10,False,7,4,3,3,8,İlkbahar,85.6,High
Peynirli Lavaş Rulo,Atıştırmalık,Kolay,10,9,6,3,0.667,1,8,False,4,4,4,3,8,İlkbahar,96.93,High
Sebze Çorbası,Çorba,Kolay,28,7,5,2,0.714,3,27,True,4,2,0,2,15,Kış,98.0,High
Tavuklu Salata,Salata,Orta,25,10,2,8,0.2,2,26,True,2,1,2,2,10,İlkbahar,17.0,Low
Peynirli Tost,Kahvaltı,Kolay,10,9,2,7,0.222,1,2,True,1,1,0,0,6,Sonbahar,29.98,Low
Yoğurt Çorbası,Çorba,Orta,35,7,0,7,0.0,0,22,False,7,0,1,5,3,Yaz,0.0,Low
Bayat Ekmek Pizzası,Atıştırmalık,Kolay,20,6,6,0,1.0,2,6,True,8,2,2,1,0,İlkbahar,100.0,High
Tavuklu Sebze Sote,Ana Yemek,Orta,35,9,1,8,0.111,0,13,True,3,5,1,1,12,Kış,14.89,Low
Sütlaç,Tatlı,Orta,45,4,4,0,1.0,4,10,False,5,6,0,1,12,Kış,100.0,High
Fırında Tavuk,Ana Yemek,Orta,45,9,4,5,0.444,1,9,False,4,5,3,2,5,Yaz,61.56,Medium
Elmalı Yulaf Tatlısı,Tatlı,Kolay,20,4,4,0,1.0,4,0,False,4,4,3,4,12,İlkbahar,100.0,High
Peynirli Tost,Kahvaltı,Kolay,10,8,1,7,0.125,0,12,False,3,2,5,4,8,İlkbahar,8.97,Low
Sebzeli Sandviç,Atıştırmalık,Kolay,12,8,0,8,0.0,0,7,False,8,6,2,4,11,Yaz,25.0,Low
Mevsim Salata,Salata,Kolay,10,9,5,4,0.556,3,29,True,7,1,5,0,7,Yaz,100.0,High
Elmalı Yulaf Tatlısı,Tatlı,Kolay,20,10,0,10,0.0,0,10,True,3,3,4,5,11,İlkbahar,0.0,Low
Mercimek Çorbası,Çorba,Kolay,30,7,2,5,0.286,1,15,True,8,3,3,5,12,Sonbahar,50.0,Medium
Yoğurtlu Havuç Salatası,Salata,Kolay,15,8,3,5,0.375,0,10,True,8,6,0,4,9,Yaz,54.92,Medium
Etli Sebze Yemeği,Ana Yemek,Zor,55,10,6,4,0.6,4,12,True,7,3,2,5,12,Kış,81.0,High
Domates Çorbası,Çorba,Kolay,25,7,7,0,1.0,4,8,True,8,1,3,4,12,Yaz,100.0,High
Yoğurtlu Yulaf,Kahvaltı,Kolay,8,9,0,9,0.0,0,0,False,2,3,5,5,14,İlkbahar,0.0,Low
Sebzeli Sandviç,Atıştırmalık,Kolay,12,7,2,5,0.286,1,27,True,6,1,5,2,2,Kış,61.4,Medium
Bayat Ekmek Pizzası,Atıştırmalık,Kolay,20,10,1,9,0.1,1,13,True,6,1,4,2,11,İlkbahar,27.5,Low
Bayat Ekmek Pizzası,Atıştırmalık,Kolay,20,4,4,0,1.0,3,17,False,7,5,0,5,8,İlkbahar,100.0,High
Domates Çorbası,Çorba,Kolay,25,4,1,3,0.25,0,27,False,8,6,4,3,9,Yaz,77.55,High
Tavuklu Sebze Sote,Ana Yemek,Orta,35,10,8,2,0.8,2,26,True,4,3,2,2,10,Yaz,100.0,High
Kıymalı Makarna,Ana Yemek,Orta,30,8,2,6,0.25,0,23,True,3,4,3,0,3,Kış,45.35,Medium
Yoğurtlu Havuç Salatası,Salata,Kolay,15,6,4,2,0.667,1,27,False,0,5,4,1,11,Yaz,100.0,High
Fırında Tavuk,Ana Yemek,Orta,45,9,4,5,0.444,1,0,False,7,6,2,3,11,Yaz,86.56,High
Sebze Çorbası,Çorba,Kolay,28,8,1,7,0.125,0,25,False,1,2,5,3,5,Sonbahar,2.38,Low
Mevsim Salata,Salata,Kolay,10,6,0,6,0.0,0,10,False,0,3,5,3,6,İlkbahar,5.2,Low
Sebzeli Omlet,Kahvaltı,Kolay,15,8,0,8,0.0,0,12,True,5,3,5,2,9,Yaz,30.8,Low
Bayat Ekmek Pizzası,Atıştırmalık,Kolay,20,9,6,3,0.667,0,8,False,4,6,2,5,15,Kış,69.33,Medium
Peynirli Tost,Kahvaltı,Kolay,10,10,6,4,0.6,0,30,False,6,4,3,5,15,Kış,68.0,Medium
Yoğurtlu Yulaf,Kahvaltı,Kolay,8,5,4,1,0.8,2,6,True,7,2,2,4,9,Kış,100.0,High
Muzlu Pankek,Tatlı,Orta,25,5,4,1,0.8,2,29,False,8,1,0,2,8,İlkbahar,91.6,High
Mevsim Salata,Salata,Kolay,10,10,2,8,0.2,1,21,True,8,6,1,5,7,İlkbahar,31.4,Low
Mevsim Salata,Salata,Kolay,10,10,2,8,0.2,2,27,True,2,3,2,5,6,Kış,6.2,Low
Elmalı Yulaf Tatlısı,Tatlı,Kolay,20,10,7,3,0.7,2,14,True,0,3,2,5,11,Kış,67.5,Medium
Sebzeli Sandviç,Atıştırmalık,Kolay,12,10,0,10,0.0,0,22,False,8,6,0,1,12,Yaz,19.0,Low
Muzlu Smoothie,Atıştırmalık,Kolay,7,6,2,4,0.333,2,26,False,8,1,5,4,3,İlkbahar,65.27,Medium
Sebzeli Sandviç,Atıştırmalık,Kolay,12,4,3,1,0.75,2,29,True,4,4,1,1,4,Kış,100.0,High
Fırında Tavuk,Ana Yemek,Orta,45,8,3,5,0.375,2,2,False,0,5,5,2,1,İlkbahar,67.33,Medium
Peynirli Tost,Kahvaltı,Kolay,10,10,2,8,0.2,1,23,False,0,2,0,0,10,Sonbahar,11.0,Low
Mercimek Çorbası,Çorba,Kolay,30,6,1,5,0.167,1,2,False,1,2,5,4,8,İlkbahar,32.43,Low
Kıymalı Makarna,Ana Yemek,Orta,30,8,3,5,0.375,3,23,False,4,5,4,1,5,İlkbahar,90.12,High
Yoğurt Çorbası,Çorba,Orta,35,8,0,8,0.0,0,25,False,4,5,2,3,10,Sonbahar,0.0,Low
Sütlaç,Tatlı,Orta,45,5,2,3,0.4,1,6,False,5,4,5,3,1,İlkbahar,68.2,Medium
Sebzeli Pilav,Ana Yemek,Kolay,25,8,6,2,0.75,2,2,True,3,0,3,1,8,Yaz,100.0,High
Bayat Ekmek Pizzası,Atıştırmalık,Kolay,20,9,4,5,0.444,0,18,False,3,4,2,3,12,İlkbahar,43.56,Low
Tavuklu Sebze Sote,Ana Yemek,Orta,35,8,7,1,0.875,1,4,True,2,3,4,2,12,Sonbahar,100.0,High
Peynirli Akdeniz Salatası,Salata,Kolay,15,4,2,2,0.5,0,12,False,7,1,5,0,5,Sonbahar,95.5,High
Sebzeli Sandviç,Atıştırmalık,Kolay,12,6,6,0,1.0,1,5,True,0,5,4,1,13,Sonbahar,100.0,High
Tavuklu Sebze Sote,Ana Yemek,Orta,35,6,1,5,0.167,1,7,True,4,1,5,1,13,Sonbahar,57.83,Medium
Tavuklu Salata,Salata,Orta,25,6,1,5,0.167,1,24,True,7,3,1,3,5,Yaz,30.83,Low
Sebze Çorbası,Çorba,Kolay,28,4,1,3,0.25,1,28,False,7,3,0,2,4,İlkbahar,45.55,Medium
Muzlu Pankek,Tatlı,Orta,25,9,7,2,0.778,2,5,False,1,4,3,3,13,Kış,100.0,High
Muzlu Smoothie,Atıştırmalık,Kolay,7,8,4,4,0.5,3,20,False,3,2,5,2,2,Kış,87.9,High
Yoğurtlu Yulaf,Kahvaltı,Kolay,8,9,7,2,0.778,1,13,True,0,6,2,5,4,Sonbahar,78.02,High
Muzlu Pankek,Tatlı,Orta,25,7,6,1,0.857,0,9,False,3,1,3,0,8,Yaz,97.6,High
Tavuklu Salata,Salata,Orta,25,9,4,5,0.444,1,29,True,5,3,3,5,6,Kış,41.76,Low
Muzlu Pankek,Tatlı,Orta,25,4,3,1,0.75,3,21,True,0,6,2,3,15,Sonbahar,100.0,High
Mercimek Çorbası,Çorba,Kolay,30,9,8,1,0.889,0,14,False,5,3,1,3,6,Sonbahar,91.31,High
Bayat Ekmek Pizzası,Atıştırmalık,Kolay,20,9,8,1,0.889,3,5,True,5,2,3,0,0,Kış,100.0,High
Mercimek Çorbası,Çorba,Kolay,30,10,6,4,0.6,4,26,True,7,3,0,4,10,İlkbahar,96.0,High
Mevsim Salata,Salata,Kolay,10,4,1,3,0.25,1,5,True,0,0,5,3,14,Kış,46.75,Medium
Menemen,Kahvaltı,Kolay,20,4,2,2,0.5,2,29,False,8,3,2,5,4,İlkbahar,65.3,Medium
Yoğurt Çorbası,Çorba,Orta,35,9,0,9,0.0,0,23,True,3,6,2,1,12,İlkbahar,12.0,Low
Sebzeli Sandviç,Atıştırmalık,Kolay,12,7,5,2,0.714,3,14,True,1,2,3,2,14,Yaz,100.0,High
Sebzeli Pilav,Ana Yemek,Kolay,25,5,2,3,0.4,0,17,True,5,3,2,5,3,Yaz,30.6,Low
Mevsim Salata,Salata,Kolay,10,8,1,7,0.125,0,26,False,8,1,0,4,4,Sonbahar,0.0,Low
Yoğurtlu Meyve Kasesi,Tatlı,Kolay,8,7,2,5,0.286,0,7,True,0,3,1,1,15,Sonbahar,38.0,Low
Elmalı Yulaf Tatlısı,Tatlı,Kolay,20,4,2,2,0.5,0,23,False,6,0,3,2,5,Kış,55.5,Medium
Sütlaç,Tatlı,Orta,45,10,4,6,0.4,4,0,True,4,3,2,3,9,Sonbahar,83.8,High
Peynirli Lavaş Rulo,Atıştırmalık,Kolay,10,5,2,3,0.4,1,0,False,8,2,1,3,5,İlkbahar,72.0,Medium
Sebze Çorbası,Çorba,Kolay,28,5,0,5,0.0,0,24,False,8,4,2,4,10,İlkbahar,24.0,Low
Fırında Tavuk,Ana Yemek,Orta,45,10,2,8,0.2,1,26,True,1,5,3,4,2,Yaz,1.4,Low
Sebze Çorbası,Çorba,Kolay,28,6,3,3,0.5,2,25,True,8,6,2,0,2,İlkbahar,100.0,High
Muzlu Pankek,Tatlı,Orta,25,4,1,3,0.25,0,25,True,6,0,5,0,1,İlkbahar,60.95,Medium
Yoğurtlu Havuç Salatası,Salata,Kolay,15,5,3,2,0.6,2,29,False,8,1,4,3,12,Yaz,100.0,High
Fırında Tavuk,Ana Yemek,Orta,45,8,4,4,0.5,1,27,False,2,1,3,0,11,İlkbahar,63.5,Medium
Elmalı Yulaf Tatlısı,Tatlı,Kolay,20,8,6,2,0.75,3,25,False,8,0,5,1,14,Sonbahar,100.0,High
Sütlaç,Tatlı,Orta,45,5,3,2,0.6,0,5,True,7,3,4,4,0,İlkbahar,70.0,Medium
Peynirli Lavaş Rulo,Atıştırmalık,Kolay,10,5,5,0,1.0,0,24,True,1,6,4,1,10,Kış,100.0,High
Yoğurtlu Yulaf,Kahvaltı,Kolay,8,6,4,2,0.667,2,17,True,8,3,0,3,13,Yaz,99.33,High
Peynirli Lavaş Rulo,Atıştırmalık,Kolay,10,8,3,5,0.375,0,22,False,8,5,0,1,12,Yaz,69.12,Medium
Fırında Tavuk,Ana Yemek,Orta,45,10,6,4,0.6,0,15,True,1,0,1,2,15,Yaz,35.0,Low
Peynirli Akdeniz Salatası,Salata,Kolay,15,9,2,7,0.222,1,22,False,5,3,4,3,13,Sonbahar,42.78,Low
Peynirli Tost,Kahvaltı,Kolay,10,8,0,8,0.0,0,12,True,4,4,3,5,9,İlkbahar,0.0,Low
Peynirli Lavaş Rulo,Atıştırmalık,Kolay,10,9,5,4,0.556,1,18,False,3,0,5,0,0,Sonbahar,79.44,High
Sebzeli Omlet,Kahvaltı,Kolay,15,5,3,2,0.6,3,18,False,2,2,4,4,4,Kış,75.8,High
Sütlaç,Tatlı,Orta,45,8,0,8,0.0,0,27,True,2,5,2,2,10,İlkbahar,1.0,Low
Mevsim Salata,Salata,Kolay,10,7,7,0,1.0,0,26,True,3,5,0,4,3,Kış,90.6,High
Mercimek Çorbası,Çorba,Kolay,30,9,5,4,0.556,0,8,False,7,5,5,3,14,Yaz,96.44,High
Yoğurtlu Meyve Kasesi,Tatlı,Kolay,8,9,4,5,0.444,3,13,False,0,3,3,5,2,Kış,36.96,Low
Sebze Çorbası,Çorba,Kolay,28,8,1,7,0.125,1,24,True,5,3,2,1,9,Kış,41.17,Low
Kıymalı Makarna,Ana Yemek,Orta,30,10,9,1,0.9,3,25,False,5,6,5,5,4,İlkbahar,100.0,High
Sütlaç,Tatlı,Orta,45,10,6,4,0.6,4,17,True,0,0,5,3,5,Kış,77.0,High
Sütlaç,Tatlı,Orta,45,8,8,0,1.0,0,28,True,0,1,3,0,11,Kış,100.0,High
Sebzeli Pilav,Ana Yemek,Kolay,25,5,3,2,0.6,0,5,False,2,0,2,5,7,İlkbahar,25.4,Low
Elmalı Yulaf Tatlısı,Tatlı,Kolay,20,5,1,4,0.2,0,25,False,4,5,4,3,7,İlkbahar,46.4,Medium
Elmalı Yulaf Tatlısı,Tatlı,Kolay,20,10,2,8,0.2,2,8,False,2,5,3,5,0,Sonbahar,6.0,Low
Tavuklu Sebze Sote,Ana Yemek,Orta,35,8,0,8,0.0,0,5,False,4,0,2,1,7,Sonbahar,0.0,Low
Mevsim Salata,Salata,Kolay,10,7,6,1,0.857,0,6,True,6,6,0,1,7,Sonbahar,100.0,High
Tavuklu Sebze Sote,Ana Yemek,Orta,35,9,7,2,0.778,3,11,False,4,0,0,2,11,Yaz,84.22,High
Sütlaç,Tatlı,Orta,45,9,6,3,0.667,1,13,False,6,0,2,3,5,Kış,58.33,Medium
Mevsim Salata,Salata,Kolay,10,9,3,6,0.333,0,9,True,0,2,4,4,10,Kış,20.67,Low
Etli Sebze Yemeği,Ana Yemek,Zor,55,9,9,0,1.0,1,5,False,2,1,4,4,7,Yaz,90.4,High
Yoğurt Çorbası,Çorba,Orta,35,6,1,5,0.167,1,29,False,8,5,4,0,4,Kış,76.63,High
Sebze Çorbası,Çorba,Kolay,28,6,5,1,0.833,2,29,False,4,5,3,3,14,Yaz,100.0,High
Etli Sebze Yemeği,Ana Yemek,Zor,55,9,8,1,0.889,4,21,True,3,6,2,5,14,Kış,100.0,High
Sütlaç,Tatlı,Orta,45,10,4,6,0.4,2,1,True,8,6,2,2,4,Kış,98.8,High
Elmalı Yulaf Tatlısı,Tatlı,Kolay,20,6,5,1,0.833,4,19,True,6,3,3,3,11,İlkbahar,100.0,High
Domates Çorbası,Çorba,Kolay,25,10,7,3,0.7,4,2,False,3,1,0,0,1,İlkbahar,100.0,High
Bayat Ekmek Pizzası,Atıştırmalık,Kolay,20,8,0,8,0.0,0,11,False,8,4,0,4,9,Yaz,0.0,Low
Peynirli Akdeniz Salatası,Salata,Kolay,15,5,3,2,0.6,1,14,True,6,5,2,4,2,Sonbahar,80.4,High
Sebzeli Pilav,Ana Yemek,Kolay,25,10,7,3,0.7,0,5,False,6,4,4,5,0,Yaz,78.5,High
Yoğurtlu Meyve Kasesi,Tatlı,Kolay,8,10,3,7,0.3,1,0,True,8,6,3,2,13,İlkbahar,100.0,High
Fırında Tavuk,Ana Yemek,Orta,45,6,0,6,0.0,0,3,True,7,0,5,1,6,Yaz,41.2,Low
Etli Sebze Yemeği,Ana Yemek,Zor,55,6,5,1,0.833,3,17,False,5,1,1,5,5,Kış,58.17,Medium
Tavuklu Sebze Sote,Ana Yemek,Orta,35,9,4,5,0.444,3,27,True,1,6,5,3,6,Sonbahar,83.76,High
Peynirli Lavaş Rulo,Atıştırmalık,Kolay,10,5,4,1,0.8,2,20,True,1,5,5,3,4,Sonbahar,100.0,High
Sütlaç,Tatlı,Orta,45,8,7,1,0.875,0,9,False,6,3,3,2,2,Kış,98.03,High
Tavuklu Salata,Salata,Orta,25,10,4,6,0.4,2,11,True,8,5,2,0,9,Sonbahar,100.0,High
Sebzeli Pilav,Ana Yemek,Kolay,25,5,2,3,0.4,2,29,True,2,1,4,3,3,Yaz,54.6,Medium
Mercimek Çorbası,Çorba,Kolay,30,8,0,8,0.0,0,3,True,6,0,1,0,3,Sonbahar,13.6,Low
Sebzeli Sandviç,Atıştırmalık,Kolay,12,7,7,0,1.0,1,14,False,7,0,0,2,12,Yaz,100.0,High
Sütlaç,Tatlı,Orta,45,8,7,1,0.875,1,28,True,7,2,0,0,10,Kış,100.0,High
Bayat Ekmek Pizzası,Atıştırmalık,Kolay,20,10,6,4,0.6,2,4,False,3,3,1,5,11,Sonbahar,60.0,Medium
Fırında Tavuk,Ana Yemek,Orta,45,7,7,0,1.0,1,15,True,0,1,4,3,8,Yaz,94.6,High
Fırında Tavuk,Ana Yemek,Orta,45,9,5,4,0.556,0,3,True,6,1,1,0,14,Kış,82.44,High
Mevsim Salata,Salata,Kolay,10,7,4,3,0.571,3,25,True,3,1,4,1,10,Yaz,100.0,High
Sebze Çorbası,Çorba,Kolay,28,4,2,2,0.5,2,2,True,2,5,1,1,15,İlkbahar,100.0,High
Tavuklu Salata,Salata,Orta,25,8,7,1,0.875,1,30,True,3,6,5,5,13,Sonbahar,100.0,High
Sebze Çorbası,Çorba,Kolay,28,6,4,2,0.667,2,3,False,1,0,1,3,13,İlkbahar,65.33,Medium
Kıymalı Makarna,Ana Yemek,Orta,30,6,3,3,0.5,1,13,False,8,1,4,0,5,Yaz,92.5,High
Kıymalı Makarna,Ana Yemek,Orta,30,7,3,4,0.429,3,16,True,5,5,5,4,2,İlkbahar,86.4,High
Peynirli Tost,Kahvaltı,Kolay,10,9,3,6,0.333,3,18,False,2,4,1,1,4,Sonbahar,58.47,Medium
Yoğurtlu Havuç Salatası,Salata,Kolay,15,5,1,4,0.2,1,25,True,1,1,1,1,14,Kış,34.0,Low
Tavuklu Sebze Sote,Ana Yemek,Orta,35,6,0,6,0.0,0,23,True,1,2,5,1,12,Sonbahar,20.0,Low
Tavuklu Salata,Salata,Orta,25,4,3,1,0.75,3,0,True,6,1,1,1,9,Kış,100.0,High
Tavuklu Sebze Sote,Ana Yemek,Orta,35,7,3,4,0.429,3,6,True,8,1,1,5,14,Yaz,59.0,Medium
Menemen,Kahvaltı,Kolay,20,10,2,8,0.2,0,30,True,6,4,4,1,6,Sonbahar,50.2,Medium
Etli Sebze Yemeği,Ana Yemek,Zor,55,6,2,4,0.333,2,6,True,8,0,0,4,1,Yaz,17.87,Low
Yoğurtlu Havuç Salatası,Salata,Kolay,15,5,2,3,0.4,1,6,True,4,0,5,5,15,Sonbahar,56.0,Medium
Sebzeli Pilav,Ana Yemek,Kolay,25,6,0,6,0.0,0,0,True,4,2,3,4,9,Yaz,18.8,Low
Peynirli Tost,Kahvaltı,Kolay,10,6,1,5,0.167,0,16,True,4,2,2,0,6,Kış,44.03,Low
Sebze Çorbası,Çorba,Kolay,28,8,3,5,0.375,0,14,False,3,2,0,4,11,Yaz,7.12,Low
Sebze Çorbası,Çorba,Kolay,28,7,3,4,0.429,2,12,False,6,5,1,2,3,İlkbahar,73.6,Medium
Sebzeli Omlet,Kahvaltı,Kolay,15,5,5,0,1.0,0,30,False,4,6,4,0,10,Kış,100.0,High
Yoğurtlu Havuç Salatası,Salata,Kolay,15,8,8,0,1.0,2,23,False,1,2,5,0,13,İlkbahar,100.0,High
Peynirli Lavaş Rulo,Atıştırmalık,Kolay,10,8,6,2,0.75,3,2,False,2,1,3,4,0,Sonbahar,89.25,High
Bayat Ekmek Pizzası,Atıştırmalık,Kolay,20,10,10,0,1.0,1,26,True,7,0,2,3,1,Sonbahar,100.0,High
Yoğurt Çorbası,Çorba,Orta,35,7,4,3,0.571,4,4,False,7,3,5,3,6,Kış,100.0,High
Etli Sebze Yemeği,Ana Yemek,Zor,55,9,9,0,1.0,4,20,False,6,5,1,5,10,Yaz,100.0,High
Bayat Ekmek Pizzası,Atıştırmalık,Kolay,20,5,3,2,0.6,3,2,True,0,4,5,2,3,Kış,100.0,High
Fırında Tavuk,Ana Yemek,Orta,45,8,5,3,0.625,4,19,True,8,0,5,3,3,Sonbahar,100.0,High
Peynirli Akdeniz Salatası,Salata,Kolay,15,7,0,7,0.0,0,18,True,8,2,0,2,6,Yaz,10.2,Low
Sebzeli Omlet,Kahvaltı,Kolay,15,5,2,3,0.4,0,17,True,8,1,1,4,11,Sonbahar,46.0,Medium
Elmalı Yulaf Tatlısı,Tatlı,Kolay,20,10,7,3,0.7,4,0,False,5,2,5,1,10,İlkbahar,100.0,High
Yoğurtlu Yulaf,Kahvaltı,Kolay,8,6,4,2,0.667,2,28,False,1,2,0,2,6,İlkbahar,63.53,Medium
Yoğurt Çorbası,Çorba,Orta,35,7,1,6,0.143,0,30,True,3,4,1,5,10,İlkbahar,0.0,Low
Sütlaç,Tatlı,Orta,45,6,0,6,0.0,0,25,False,6,4,2,2,5,Kış,12.0,Low
Muzlu Smoothie,Atıştırmalık,Kolay,7,8,5,3,0.625,3,0,False,4,2,2,1,6,Yaz,100.0,High
Mevsim Salata,Salata,Kolay,10,4,3,1,0.75,3,20,False,5,1,4,0,12,Kış,100.0,High
Sebzeli Omlet,Kahvaltı,Kolay,15,10,8,2,0.8,3,14,True,3,6,1,1,2,Yaz,100.0,High
Sebzeli Pilav,Ana Yemek,Kolay,25,7,2,5,0.286,1,11,True,7,2,5,0,11,Sonbahar,93.0,High
Mercimek Çorbası,Çorba,Kolay,30,6,6,0,1.0,4,18,False,2,0,5,4,2,Kış,100.0,High
Mevsim Salata,Salata,Kolay,10,10,4,6,0.4,3,20,True,4,6,2,5,7,Sonbahar,66.4,Medium
Sebzeli Sandviç,Atıştırmalık,Kolay,12,4,4,0,1.0,3,29,False,0,6,0,2,7,Sonbahar,100.0,High
Yoğurt Çorbası,Çorba,Orta,35,8,2,6,0.25,1,3,True,8,4,2,5,4,Sonbahar,38.55,Low
Yoğurtlu Meyve Kasesi,Tatlı,Kolay,8,8,5,3,0.625,4,7,False,6,2,3,4,15,Sonbahar,100.0,High
Mevsim Salata,Salata,Kolay,10,4,0,4,0.0,0,0,False,3,4,1,0,4,Kış,47.8,Medium
Sebzeli Omlet,Kahvaltı,Kolay,15,6,3,3,0.5,3,16,False,2,5,0,1,4,Kış,81.3,High
Fırında Tavuk,Ana Yemek,Orta,45,4,3,1,0.75,3,23,False,3,1,5,5,14,Kış,80.25,High
Peynirli Lavaş Rulo,Atıştırmalık,Kolay,10,8,0,8,0.0,0,17,False,5,4,5,0,14,Sonbahar,47.0,Medium
Tavuklu Sebze Sote,Ana Yemek,Orta,35,10,3,7,0.3,3,28,False,0,3,3,5,3,Yaz,6.1,Low
Yoğurtlu Havuç Salatası,Salata,Kolay,15,7,6,1,0.857,0,10,True,5,4,3,5,0,Sonbahar,85.0,High
Muzlu Smoothie,Atıştırmalık,Kolay,7,9,4,5,0.444,0,8,False,7,1,0,2,14,Yaz,43.56,Low
Peynirli Tost,Kahvaltı,Kolay,10,10,6,4,0.6,4,23,False,2,5,0,4,1,Sonbahar,72.2,Medium
